id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
bitcoin,1,BTC,Bitcoin,19658368.0000000000000000,21000000.0000000000000000,1303883501280.0144902900462464,12129956081.4887749740965026,66327.1488904884927523,-1.9393607052053198,66267.3466534506090855,https://blockchain.info/
ethereum,2,ETH,Ethereum,120077426.1898597300000000,,423142358318.6051770987821073,7009959627.3966522903380705,3523.9126265877491184,-0.8014262961227331,3516.7925190851806088,https://etherscan.io/
tether,3,USDT,Tether,103618183617.7160800000000000,,103704472261.3543793944495038,27639916975.5532037809938096,1.0008327558023662,-0.0690746651889414,1.0012132198519320,https://www.omniexplorer.info/asset/31
binance-coin,4,BNB,BNB,166801148.0000000000000000,166801148.0000000000000000,97320624226.5054100067173588,834398383.9425547145704284,583.4529641636843531,5.3667696450380218,563.3661591087648225,https://etherscan.io/token/0xB8c77482e45F1F44dE1745F52C74426C631bDD52
solana,5,SOL,Solana,443884942.2473194000000000,,79841353742.8559192929639557,1762365407.1011605332861360,179.8694800022540693,-5.5530389399346044,182.8314530350560049,https://explorer.solana.com/
usd-coin,6,USDC,USDC,31402000743.4583700000000000,,31427187397.2588099291953011,1845767358.1436646224132546,1.0008020716261427,-0.0249312566128300,1.0011672096885478,https://etherscan.io/token/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
xrp,7,XRP,XRP,45404028640.0000000000000000,100000000000.0000000000000000,28957536127.3133967054759680,1003464550.0665658719006666,0.6377745983051912,4.6237850201256480,0.6327692341104862,https://xrpcharts.ripple.com/#/graph/
dogecoin,8,DOGE,Dogecoin,143530066383.7052000000000000,,23648202533.0697527343304164,1326053862.5264995996874048,0.1647613153738115,5.4399692163018828,0.1552134463537627,http://dogechain.info/chain/Dogecoin
cardano,9,ADA,Cardano,35565639551.8750000000000000,45000000000.0000000000000000,22833979277.6960408624438691,269813722.5116986789094989,0.6420235813386982,0.9277465511838361,0.6338972102560567,https://cardanoexplorer.com/
avalanche,10,AVAX,Avalanche,377311201.7659915000000000,720000000.0000000000000000,21195040366.3960668072995269,467005524.7520686076144942,56.1738964207620744,1.8310403590905733,54.6872752089782474,https://avascan.info/
shiba-inu,11,SHIB,Shiba Inu,589289410812691.0000000000000000,,16672895780.4080217857974127,718510159.2428500892293502,0.0000282932214197,3.4734925650485230,0.0000274718513678,https://etherscan.io/token/0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce
polkadot,12,DOT,Polkadot,1343903313.6937500000000000,,12548872788.5234492708744588,187021414.3714432540386085,9.3376306618610650,-0.9709649403381664,9.3030237024017237,https://polkascan.io/polkadot
chainlink,13,LINK,Chainlink,587099970.4527867000000000,1000000000.0000000000000000,10834333683.2847647953137088,305434902.5618019266645790,18.4539843783828606,0.8828223901664196,18.4402718786292193,https://etherscan.io/token/0x514910771af9ca656af840dff83e8264ecf986ca
tron,14,TRX,TRON,87827583692.0204600000000000,,10662142412.8802840196592002,147126967.0522040037214405,0.1213985625548866,0.0774427704211156,0.1214469140226974,https://tronscan.org/#/
wrapped-bitcoin,15,WBTC,Wrapped Bitcoin,155584.7087716400000000,,10321213509.6688080455392667,20925751.0163904339799985,66338.2255952788088094,-1.9042652740123316,66457.5670422296822121,https://etherscan.io/token/0x2260fac5e5542a773aa44fbcfedf7c193bc2c599
polygon,16,MATIC,Polygon,9906666473.1907880000000000,10000000000.0000000000000000,10097659570.8529164854591087,168934017.0969027066094070,1.0192792498040577,2.2888175105517169,1.0037569903352041,https://etherscan.io/token/0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0
bitcoin-cash,17,BCH,Bitcoin Cash,19672493.7500000000000000,21000000.0000000000000000,8196013217.8971982341564681,210817580.8060021624495442,416.6229925932597251,-4.0101180486212287,421.5223430453350697,https://blockchair.com/bitcoin-cash/blocks
uniswap,18,UNI,Uniswap,598736139.7100000000000000,1000000000.0000000000000000,7249582433.2954844886665269,99620136.1548458080141836,12.1081423894118798,1.2564565624984649,12.0492049027128551,https://etherscan.io/token/0x1f9840a85d5af5bf1d1762f925bdaddc4201f984
near-protocol,19,NEAR,NEAR Protocol,1053121449.0000000000000000,,7066695432.8773459626454929,217873496.5818288072039874,6.7102378738820521,-0.5170079034499521,6.5891082539492910,https://explorer.nearprotocol.com/
litecoin,20,LTC,Litecoin,74327168.6075049300000000,84000000.0000000000000000,6353459246.4345719857894579,275837910.3003549684917887,85.4796350441506433,-0.0983189510127959,85.6631888569998957,http://explorer.litecoin.net/chain/Litecoin
internet-computer,21,ICP,Internet Computer,461012211.7845339000000000,,6252826451.2205931025468775,127048443.2534733604443877,13.5632555741126764,11.7563660483139118,12.7033372090293044,https://www.dfinityexplorer.org/#/
unus-sed-leo,22,LEO,UNUS SED LEO,926931427.9000000000000000,,5654438273.6225495381045400,384759.6205579461990943,6.1001689050860043,-1.2933556041874788,6.0735279597047682,https://eospark.com/account/bitfinexleo1
multi-collateral-dai,23,DAI,Multi Collateral DAI,5347888595.7464075000000000,,5348835902.5915508809894079,297649758.7808207617934161,1.0001771366078749,0.0264636683941973,0.9997006122562861,https://etherscan.io/token/0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359
stacks,24,STX,Stacks,1446427874.4571350000000000,1818000000.0000000000000000,5283596419.8190431024887349,116626018.5531275054043456,3.6528585442271376,8.7703683505614792,3.3711922011107158,https://explorer.xinfin.network/
filecoin,25,FIL,Filecoin,525282244.0000000000000000,,4848459752.5189513118698156,255615727.0396302292387481,9.2301992079499099,2.2577762336559921,9.0646830838584894,https://protocol.ai
ethereum-classic,26,ETC,Ethereum Classic,146110555.5363162000000000,210700000.0000000000000000,4448290333.7429410672778345,109216303.6885009771123762,30.4446883896578278,-0.0149038604802228,30.3440062112353007,http://gastracker.io/
render-token,27,RNDR,Render Token,369614008.1087959400000000,536870912.0000000000000000,4107604145.6376915564906308,27731205.7940714508174575,11.1132263808265017,-0.3547156892160920,10.9829978768564568,https://etherscan.io/token/0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24
stellar,28,XLM,Stellar,28681978352.6240540000000000,50001806812.0000000000000000,3835808106.2729744129737974,76027556.2344204489424424,0.1337358273935816,2.0854130112251856,0.1325470584106126,https://dashboard.stellar.org/
the-graph,29,GRT,The Graph,9456178825.3094500000000000,,3661596824.2361353795048755,55286327.7073093143738032,0.3872173836683245,-1.5675095713919252,0.3852376875619837,https://etherscan.io/token/0xc944e90c64b2c07662a292be6244bdf05cda44a7
okb,30,OKB,OKB,60000000.0000000000000000,,3648420000.2734714500000000,1232403.9378782711843626,60.8070000045578575,1.5848524926410885,59.4250492944434592,https://etherscan.io/token/0x75231f58b43240c9718dd58b4967c5114342a86c
crypto-com-coin,31,CRO,Crypto.com Coin,25263013692.0000000000000000,30263013692.0000000000000000,3537559768.2756592204975668,10073075.9548763893277459,0.1400292067844579,-0.0088393121686404,0.1386240682171025,https://etherscan.io/token/0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b
fantom,32,FTM,Fantom,2803634835.5265927000000000,3175000000.0000000000000000,3302215077.0271008372167246,380418417.4617992121379340,1.1778335163990293,10.5747982677774825,1.0980165470961743,https://etherscan.io/token/0x4e15361fd6b4bb609fa63c81a2be19d873717870
vechain,33,VET,VeChain,72714516834.0000000000000000,86712634466.0000000000000000,3079616169.5063622660425796,37789881.1361812145893072,0.0423521506240194,0.9118322680750318,0.0416861924820673,https://explore.veforge.com/
theta,34,THETA,THETA,1000000000.0000000000000000,1000000000.0000000000000000,3030892206.6438835000000000,52667268.1789513732027988,3.0308922066438835,2.3550981795549962,2.9339241591513928,https://explorer.thetatoken.org/
maker,35,MKR,Maker,924359.6736397800000000,1005577.0000000000000000,3000812287.4083733470071121,109902141.6794704435814455,3246.3686733458477014,6.7093682556975548,3245.4600447922943578,https://etherscan.io/token/Maker
cosmos,36,ATOM,Cosmos,248453201.0000000000000000,,2936199359.9494668691281728,113536034.2612142890243374,11.8179172098872128,0.3792138287884176,11.7314627091009483,https://www.mintscan.io/
thorchain,37,RUNE,THORChain,336620216.0000000000000000,,2920236902.0770579397052696,144266208.0965798557390149,8.6751679289429781,-0.9694397422816885,8.5490660402229591,https://explorer.binance.org/asset/RUNE-B1A
injective-protocol,38,INJ,Injective,73005554.3300000000000000,100000000.0000000000000000,2703723296.6758587434348027,78128510.6057332599204394,37.0344876015114937,-4.2841757140353274,37.7109663115377273,https://etherscan.io/token/0xe28b3b32b6c345a34ff64674606124dd5aceca30
monero,39,XMR,Monero,18412233.1642821700000000,,2581315906.5087697913681065,36064613.9674679909379845,140.1956994285872911,-1.9369173044134244,140.8893440862554547,http://moneroblocks.info/
lido-dao,40,LDO,Lido DAO,891700325.0543096000000000,1000000000.0000000000000000,2484536696.6576336436968216,3936284.0921844698666362,2.7862911191675424,6.3264946535912548,2.7855999405424677,https://etherscan.io/token/0x5a98fcbea516cf06857215779fd812ca3bef1b32
arweave,41,AR,Arweave,65454185.0000000000000000,66000000.0000000000000000,2382305161.6302323882622810,39883423.7375038915176567,36.3965292919044426,4.7460562843199880,35.1609360379069494,https://viewblock.io/arweave
fetch,42,FET,Fetch.ai,839758747.7594593000000000,,2160012481.7734966963552087,171642487.1737561628531995,2.5721821743882699,-3.3250428676467819,2.6016610686134637,https://etherscan.io/token/0x1d287cc25dad7ccaf76a26bc660c5f7c8e2a05bd
algorand,43,ALGO,Algorand,8066790016.0592870000000000,10000000000.0000000000000000,2051198192.4829405051986983,54464032.0631577245887058,0.2542768794525995,1.4752978612355923,0.2498227938794634,https://algoexplorer.io/
flow,44,FLOW,Flow,1494854696.0000000000000000,,1982777446.3282281311348960,34913693.0604503484110484,1.3264014566993260,0.8133705856050595,1.3110496923105884,https://flowscan.org/
aave,45,AAVE,Aave,14763809.3572999600000000,16000000.0000000000000000,1830798307.3951896524097769,67445196.4998470693658979,124.0058214711335402,2.5769997186803427,121.7540641436238691,https://etherscan.io/token/0x80fB784B7eD66730e8b1DBd9820aFD29931aab03
gala,46,GALA,Gala,29775512979.1718670000000000,,1718618144.4855252333304913,106454397.5151529990852370,0.0577191783626938,-1.0256907115451668,0.0574689231160523,https://ethplorer.io/es/address/0x15d4c048f83bd7e37d49ea4c83a07267ec4203da#chart=candlestick
hedera-hashgraph,47,HBAR,Hedera Hashgraph,14832756028.0000000000000000,50000000000.0000000000000000,1654891835.1154285539295404,31171883.9118013213008794,0.1115700839406693,0.0645466505284431,0.1107366207707244,https://hash-hash.info/
conflux-network,48,CFX,Conflux,3843897296.4700000000000000,,1641317359.4002595584994102,102124932.1997636453974072,0.4269930315015297,-0.2844905989703233,0.4393641636371424,http://www.confluxscan.io/
bitcoin-sv,49,BSV,Bitcoin SV,19664756.2500000000000000,,1579365567.2881859241971850,9096630.5385351260679029,80.3145254998106536,-0.5893401140286211,80.1687227299145493,https://bsvexplorer.io/
quant,50,QNT,Quant,12072738.0000000000000000,14881364.0000000000000000,1557286217.6504782351941366,19295277.8543255220648534,128.9919666649336907,0.2382307473008430,128.4647535703258955,https://etherscan.io/token/0x4a220e6096b25eadb88358cb44068a3248254675
the-sandbox,51,SAND,The Sandbox,2251731926.2233224000000000,3000000000.0000000000000000,1498695675.6128586479780065,44006814.6106564484397803,0.6655746441924459,3.3450915397567556,0.6422784087375390,https://etherscan.io/token/0x3845badAde8e6dFF049820680d1F14bD3903a5d0
axie-infinity,52,AXS,Axie Infinity,142037746.2970986000000000,270000000.0000000000000000,1488593754.4650993778138155,34993503.6825184822999261,10.4802687544156481,3.4172982788847005,10.1460811202873921,https://etherscan.io/token/0xf5d669627376ebd411e34b98f19c868c8aba5ada
elrond-egld,53,EGLD,MultiversX,24184559.1898415400000000,31415926.0000000000000000,1484043158.8202380521333634,19540071.2806989496891842,61.3632502941626563,-0.2712047647804551,60.7746477030518727,https://explorer.elrond.com/
kucoin-token,54,KCS,KuCoin Token,96287258.2890287500000000,170118638.0000000000000000,1414278444.4618201372658979,2993220.6461235053784828,14.6881162636964099,0.4717221896119255,14.7187705420915216,https://etherscan.io/token/0xf34960d9d60be18cc1d5afc1a6f012a723a28811
singularitynet,55,AGIX,SingularityNET,1279380811.6426191000000000,2000000000.0000000000000000,1381436718.6138267007694834,12482067.6948657063072532,1.0797697652196114,-0.2395014718276570,1.0581261639918143,https://etherscan.io/token/0x8eb24319393716668d768dcec29356ae9cffe285
mina,56,MINA,Mina,1070802276.8400393000000000,,1343807940.2741061009261238,17235994.8759558805604085,1.2549543172804156,0.4503243201910989,1.2327465130376960,https://minaexplorer.com/
akash-network,57,AKT,Akash Network,230907433.3108150000000000,388539008.0000000000000000,1257188814.5618374202357984,878113.9422616248226598,5.4445575724259481,-1.3681362061056201,5.3879931974452605,https://akash.bigdipper.live/
chiliz,58,CHZ,Chiliz,8888290306.5249610000000000,8888888888.0000000000000000,1232115896.8860912551741961,42861468.7384466420691376,0.1386223733018245,2.3048701655159770,0.1377747127101365,https://etherscan.io/token/0x3506424f91fd33084466f402d5d97f05f8e3b4af
tezos,59,XTZ,Tezos,974839642.9751710000000000,,1230626321.0754933919361858,25370736.1271011189978756,1.2623884655733448,0.2149773390231412,1.2492556772235063,https://tzkt.io/
decentraland,60,MANA,Decentraland,1908319865.3915880000000000,,1225918958.6506498731090994,26556072.8312318722679117,0.6424074815146835,1.0734686078107258,0.6351481546980165,https://etherscan.io/token/decentraland
eos,61,EOS,EOS,1120460954.5722000000000000,,1132536687.7908637819028547,76406602.5410049016848270,1.0107774690134333,0.1033152060420093,1.0104619858164070,https://bloks.io/
helium,62,HNT,Helium,160875441.8242133300000000,223000000.0000000000000000,1099680800.6673840870204538,1899559.4365571751240497,6.8356039193912029,-2.2564150807247852,6.7551898084745612,https://explorer.helium.com/
neo,63,NEO,Neo,70538831.0000000000000000,100000000.0000000000000000,1058531716.7417117160392951,20001424.5292844792611548,15.0063688572002521,-0.2493818862470610,15.0247138968903604,https://neotracker.io
pancakeswap,64,CAKE,PancakeSwap,244672128.8103295000000000,450000000.0000000000000000,1051430830.4087814574994082,65056210.7419651794336322,4.2973052775612767,9.5386951213545725,4.1193652375216035,https://bscscan.com/token/0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82
kava,65,KAVA,Kava,1082860636.0000000000000000,1082860679.0000000000000000,1049585392.5277172018400548,27543722.6450765499740196,0.9692709824643743,-2.3989782705094054,0.9631874482813085,https://www.mintscan.io/kava
wemix,66,WEMIX,WEMIX,365709618.3174209600000000,980000000.0000000000000000,1047986763.7382706892365292,13023819.2087756572590303,2.8656253793922946,-7.5698709398327145,2.9414588982136014,https://scope.klaytn.com/token/0x5096db80b21ef45230c9e423c373f1fc9c0198dd?tabId=kctTransfer
synthetix-network-token,67,SNX,Synthetix,233716733.4900000000000000,212424133.0000000000000000,1046901801.8601458824224133,45042847.8761443101531724,4.4793617736615316,7.6987993794077919,4.3201507071892976,https://etherscan.io/token/0xc011a72400e58ecd99ee497cf89e3775d4bd732f
iota,68,IOTA,IOTA,3172092163.0000000000000000,,1029914828.0269043435634086,11091566.3056736406552503,0.3246799825175522,1.6095950685852146,0.3277214273593127,https://thetangle.org/
ecash,69,XEC,eCash,19665554673092.0000000000000000,21000000000000.0000000000000000,1019885514.9309324404981396,11985034.1881615241909781,0.0000518615178613,-0.0972573068715422,0.0000517195029842,https://explorer.bitcoinabc.org/
trueusd,70,TUSD,TrueUSD,988455467.0100000000000000,,996013435.1795399187891267,21796492.1133817190424033,1.0076462404446021,-0.0262799709297286,1.0073150036132690,https://etherscan.io/token/0x8dd5fbce2f6a956c3022ba3663759011dd51e73e
nervos-network,71,CKB,Nervos Network,43772719517.4504200000000000,,988122195.3154384904202476,44790373.5829425876109916,0.0225739274646053,9.7639665447530518,0.0210516722251854,https://explorer.nervos.org/
oasis-network,72,ROSE,Oasis Network,6713599876.0000000000000000,10000000000.0000000000000000,967356079.4249495714703076,15477754.6023583447945085,0.1440890278378201,-2.7637648649280004,0.1448637962100911,https://www.oasisscan.com/
